Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,6.975000,7.027000,6.860000,6.998000,6.723007,26971999
2020-06-02,7.059000,7.206000,6.995000,7.189000,6.906501,35556524
2020-06-03,7.250000,7.547000,7.210000,7.504000,7.209123,48003761
2020-06-04,7.474000,7.624000,7.432000,7.485000,7.190869,41127984
2020-06-05,7.555000,7.653000,7.442000,7.578000,7.280215,46991716
2020-06-08,7.470000,7.616000,7.442000,7.577000,7.279254,32663727
2020-06-09,7.612000,7.664000,7.395000,7.542000,7.245629,35464206
2020-06-10,7.578000,7.632000,7.503000,7.512000,7.216808,25294278
2020-06-11,7.416000,7.521000,7.318000,7.327000,7.039078,39318623
2020-06-12,7.251000,7.462000,7.205000,7.345000,7.056371,29309185
2020-06-15,7.183000,7.400000,7.110000,7.362000,7.072702,23585217
2020-06-16,7.510000,7.689000,7.451000,7.566000,7.268686,37490111
2020-06-17,7.599000,7.653000,7.463000,7.505000,7.210083,34702539
2020-06-18,7.500000,7.580000,7.396000,7.473000,7.179341,31963811
2020-06-19,7.537000,7.693000,7.503000,7.600000,7.301350,65011292
2020-06-22,7.520000,7.632000,7.511000,7.600000,7.301350,19368546
2020-06-23,7.674000,7.849000,7.639000,7.811000,7.504059,34204646
2020-06-24,7.781000,7.831000,7.624000,7.624000,7.324408,26836896
2020-06-25,7.640000,7.802000,7.581000,7.663000,7.361875,29810436
2020-06-26,7.700000,7.798000,7.635000,7.639000,7.338818,22009693
2020-06-29,7.689000,7.774000,7.597000,7.724000,7.420477,19789904
2020-06-30,7.717000,7.794000,7.635000,7.678000,7.376285,29939408
2020-07-01,7.745000,7.750000,7.573000,7.702000,7.399342,19779273
2020-07-02,7.770000,7.981000,7.754000,7.947000,7.634715,28730412
2020-07-03,7.980000,7.992000,7.831000,7.874000,7.564583,14407860
2020-07-06,7.990000,8.018000,7.860000,7.914000,7.603012,22459692
2020-07-07,7.891000,8.015000,7.857000,7.975000,7.661614,17826322
2020-07-08,7.936000,8.132000,7.911000,8.086000,7.768253,23700221
2020-07-09,8.115000,8.137000,7.925000,7.936000,7.624146,22168946
2020-07-10,7.870000,8.056000,7.860000,8.030000,7.714453,18216902
2020-07-13,8.118000,8.139000,7.993000,8.122000,7.802837,19428473
2020-07-14,8.045000,8.075000,7.958000,8.014000,7.699081,18450095
2020-07-15,8.072000,8.195000,8.024000,8.169000,7.847990,27820380
2020-07-16,8.090000,8.261000,8.088000,8.253000,7.928689,27642547
2020-07-17,8.258000,8.437000,8.258000,8.427000,8.095852,37966814
2020-07-20,null,null,null,null,null,null
2020-07-21,8.425000,8.539000,8.317000,8.330000,8.165450,26648025
2020-07-22,8.262000,8.271000,8.127000,8.194000,8.032137,25594831
2020-07-23,8.188000,8.220000,8.103000,8.134000,7.973321,23073036
2020-07-24,8.000000,8.047000,7.896000,7.944000,7.787075,23625330
2020-07-27,7.901000,7.986000,7.824000,7.921000,7.764529,18707645
2020-07-28,7.917000,7.983000,7.783000,7.900000,7.743944,19636246
2020-07-29,7.773000,7.975000,7.729000,7.975000,7.817462,22814206
2020-07-30,8.186000,8.186000,7.692000,7.737000,7.584164,35455218
2020-07-31,7.759000,7.953000,7.729000,7.729000,7.576322,27985243
2020-08-03,7.731000,7.880000,7.656000,7.856000,7.700813,16598097
2020-08-04,7.915000,7.935000,7.773000,7.869000,7.713556,17392206
2020-08-05,7.912000,7.959000,7.825000,7.833000,7.678267,16284185
2020-08-06,7.820000,7.844000,7.679000,7.730000,7.577302,16964444
2020-08-07,7.749000,7.818000,7.668000,7.815000,7.660623,12194284
2020-08-10,7.840000,7.910000,7.768000,7.865000,7.709635,11537455
2020-08-11,7.918000,8.080000,7.855000,7.964000,7.806680,21505066
2020-08-12,7.922000,8.110000,7.880000,8.110000,7.949795,18494089
2020-08-13,8.073000,8.093000,7.980000,8.008000,7.849811,15525065
2020-08-14,7.925000,7.959000,7.796000,7.885000,7.729240,15291580
2020-08-17,7.886000,7.912000,7.771000,7.808000,7.653761,12565096
2020-08-18,7.790000,7.983000,7.750000,7.788000,7.634157,16101655
2020-08-19,7.800000,7.884000,7.720000,7.865000,7.709635,13630934
2020-08-20,7.781000,7.815000,7.730000,7.755000,7.601809,17589977
2020-08-21,7.781000,7.814000,7.614000,7.731000,7.578282,18536040
2020-08-24,7.805000,7.973000,7.797000,7.866000,7.710616,18907297
2020-08-25,7.890000,7.947000,7.804000,7.804000,7.649840,15200320
2020-08-26,7.761000,7.818000,7.724000,7.798000,7.643959,13422327
2020-08-27,7.794000,7.800000,7.617000,7.617000,7.466535,18186882
2020-08-28,7.630000,7.697000,7.550000,7.640000,7.489080,17655122
2020-08-31,7.700000,7.735000,7.555000,7.589000,7.439087,20057236
2020-09-01,7.658000,7.723000,7.490000,7.504000,7.355767,17987561
2020-09-02,7.574000,7.678000,7.529000,7.648000,7.496922,17704291
2020-09-03,7.723000,7.828000,7.513000,7.580000,7.430265,20242108
2020-09-04,7.539000,7.618000,7.370000,7.412000,7.265584,26282196
2020-09-07,7.435000,7.600000,7.420000,7.593000,7.443008,14641511
2020-09-08,7.609000,7.626000,7.361000,7.473000,7.325379,23701412
2020-09-09,7.518000,7.669000,7.500000,7.651000,7.499863,19034473
2020-09-10,7.654000,7.693000,7.568000,7.604000,7.453791,17491313
2020-09-11,7.635000,7.678000,7.566000,7.660000,7.508685,14118437
2020-09-14,7.700000,7.700000,7.554000,7.561000,7.411640,12096483
2020-09-15,7.561000,7.635000,7.520000,7.629000,7.478297,14045052
2020-09-16,7.618000,7.622000,7.518000,7.575000,7.425364,16105798
2020-09-17,7.500000,7.511000,7.380000,7.380000,7.234216,35757281
