Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,4.348000,4.494000,4.311000,4.400000,4.008655,24150717
2020-06-02,4.420000,4.504000,4.370000,4.460000,4.063319,28196098
2020-06-03,4.508000,4.677000,4.468000,4.658000,4.243709,26220913
2020-06-04,4.630000,4.710000,4.595000,4.643000,4.230042,36964916
2020-06-05,4.699000,4.922000,4.670000,4.866000,4.433208,28721798
2020-06-08,4.800000,5.012000,4.770000,4.954000,4.513381,23641966
2020-06-09,4.970000,4.978000,4.821000,4.860000,4.427742,23197347
2020-06-10,4.898000,4.951000,4.798000,4.800000,4.373078,24261398
2020-06-11,4.654000,4.661000,4.492000,4.492000,4.092473,33637558
2020-06-12,4.478000,4.635000,4.461000,4.542000,4.138025,62287925
2020-06-15,4.482000,4.500000,4.356000,4.467000,4.069696,27454649
2020-06-16,4.569000,4.854000,4.531000,4.737000,4.315681,48275942
2020-06-17,4.560000,4.669000,4.480000,4.539000,4.310933,22875653
2020-06-18,4.500000,4.509000,4.332000,4.367000,4.147575,45602657
2020-06-19,4.402000,4.433000,4.379000,4.420000,4.197913,60771252
2020-06-22,4.411000,4.413000,4.259000,4.271000,4.056399,22435529
2020-06-23,4.310000,4.380000,4.243000,4.296000,4.080143,15168308
2020-06-24,4.290000,4.297000,4.191000,4.200000,3.988966,18874128
2020-06-25,4.194000,4.319000,4.145000,4.298000,4.082042,24045906
2020-06-26,4.352000,4.380000,4.193000,4.212000,4.000363,17036010
2020-06-29,4.212000,4.352000,4.190000,4.318000,4.101038,74658472
2020-06-30,4.285000,4.320000,4.200000,4.247000,4.033605,13357496
2020-07-01,4.213000,4.258000,4.151000,4.227000,4.014610,25269164
2020-07-02,4.253000,4.341000,4.190000,4.270000,4.055449,25738256
2020-07-03,4.278000,4.288000,4.130000,4.151000,3.942429,12080303
2020-07-06,4.240000,4.331000,4.187000,4.211000,3.999414,14847380
2020-07-07,4.169000,4.174000,4.056000,4.075000,3.870247,23972052
2020-07-08,4.060000,4.114000,4.000000,4.000000,3.799016,16670189
2020-07-09,4.030000,4.037000,3.909000,3.950000,3.751528,25515233
2020-07-10,3.934000,3.999000,3.903000,3.999000,3.798066,16816867
2020-07-13,4.057000,4.099000,4.030000,4.083000,3.877846,16840843
2020-07-14,4.040000,4.181000,4.034000,4.168000,3.958575,16204941
2020-07-15,4.186000,4.197000,3.970000,4.116000,3.909187,29914812
2020-07-16,4.071000,4.172000,4.071000,4.149000,3.940529,19322733
2020-07-17,4.121000,4.147000,4.064000,4.134000,3.926283,12238171
2020-07-20,4.115000,4.175000,4.042000,4.156000,3.947177,10370019
2020-07-21,4.195000,4.215000,4.073000,4.107000,3.900639,14987507
2020-07-22,4.111000,4.170000,4.033000,4.042000,3.838905,11280585
2020-07-23,4.043000,4.060000,3.964000,3.977000,3.777171,14652579
2020-07-24,3.984000,3.984000,3.866000,3.866000,3.671749,16313001
2020-07-27,3.868000,3.868000,3.718000,3.736000,3.548281,19468521
2020-07-28,3.740000,3.806000,3.686000,3.784000,3.593869,14701526
2020-07-29,3.802000,3.825000,3.716000,3.824000,3.631859,20147639
2020-07-30,3.814000,3.829000,3.638000,3.709000,3.522637,35400177
2020-07-31,3.724000,3.738000,3.548000,3.548000,3.369727,23900072
2020-08-03,3.550000,3.609000,3.496000,3.600000,3.419114,22243533
2020-08-04,3.600000,3.707000,3.595000,3.683000,3.497944,15104045
2020-08-05,3.720000,3.758000,3.558000,3.571000,3.391572,16020247
2020-08-06,3.570000,3.570000,3.426000,3.431000,3.258606,25745292
2020-08-07,3.450000,3.482000,3.404000,3.471000,3.296596,15473360
2020-08-10,3.516000,3.548000,3.449000,3.548000,3.369727,14330804
2020-08-11,3.600000,3.700000,3.596000,3.641000,3.458054,20579494
2020-08-12,3.641000,3.730000,3.635000,3.645000,3.461853,13521877
2020-08-13,3.631000,3.715000,3.624000,3.656000,3.472300,23174418
2020-08-14,3.642000,3.655000,3.554000,3.631000,3.448557,12525039
2020-08-17,3.611000,3.634000,3.559000,3.580000,3.400119,14141289
2020-08-18,3.557000,3.613000,3.514000,3.525000,3.347883,12288572
2020-08-19,3.532000,3.610000,3.510000,3.610000,3.428612,14158957
2020-08-20,3.570000,3.570000,3.481000,3.512000,3.335536,13671690
2020-08-21,3.514000,3.538000,3.473000,3.482000,3.307043,31113243
2020-08-24,3.509000,3.588000,3.485000,3.585000,3.404868,9715573
2020-08-25,3.590000,3.660000,3.515000,3.515000,3.338385,19121307
2020-08-26,3.502000,3.549000,3.445000,3.468000,3.293747,10416140
2020-08-27,3.451000,3.465000,3.333000,3.435000,3.262405,22668459
2020-08-28,3.443000,3.470000,3.383000,3.390000,3.219666,12441047
