Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,9.392000,9.414000,9.188000,9.188000,6.726575,21987176
2016-06-02,9.192000,9.312000,9.162000,9.218000,6.748539,18197933
2016-06-03,9.261000,9.326000,9.029000,9.041000,6.618956,18216313
2016-06-06,9.081000,9.160000,9.050000,9.093000,6.657024,11810657
2016-06-07,9.161000,9.248000,9.139000,9.177000,6.718523,11221688
2016-06-08,9.138000,9.187000,9.073000,9.114000,6.672400,9963571
2016-06-09,9.072000,9.129000,9.002000,9.017000,6.601385,14985020
2016-06-10,9.000000,9.017000,8.687000,8.705000,6.372968,24068391
2016-06-13,8.630000,8.700000,8.560000,8.560000,6.266815,19815125
2016-06-14,8.500000,8.579000,8.438000,8.442000,6.180426,24403010
2016-06-15,8.510000,8.637000,8.477000,8.548000,6.258029,26476716
2016-06-16,8.423000,8.527000,8.380000,8.495000,6.219227,35626662
2016-06-17,8.592000,8.757000,8.508000,8.540000,6.252171,98447469
2016-06-20,8.746000,8.850000,8.740000,8.816000,6.454232,26679129
2016-06-21,8.835000,8.952000,8.800000,8.903000,6.517925,23769811
2016-06-22,8.961000,9.044000,8.809000,8.962000,6.561119,18012803
2016-06-23,9.060000,9.242000,8.900000,9.218000,6.748539,18054368
2016-06-24,7.463000,8.386000,7.451000,7.732000,5.660631,95050628
2016-06-27,8.100000,8.147000,7.562000,7.661000,5.608651,43108911
2016-06-28,7.826000,7.995000,7.806000,7.838000,5.738234,27687640
2016-06-29,8.010000,8.358000,7.982000,8.329000,6.097697,32873611
2016-06-30,8.323000,8.470000,8.177000,8.460000,6.193603,25705909
2016-07-01,8.553000,8.748000,8.493000,8.665000,6.343685,29836666
2016-07-04,8.727000,8.772000,8.561000,8.628000,6.316597,13214625
2016-07-05,8.590000,8.630000,8.326000,8.350000,6.113072,20400513
2016-07-06,8.281000,8.288000,8.026000,8.146000,5.963722,21708859
2016-07-07,8.250000,8.369000,8.215000,8.328000,6.096965,14036018
2016-07-08,8.310000,8.600000,8.269000,8.490000,6.215566,20928709
2016-07-11,8.600000,8.698000,8.513000,8.631000,6.318792,16252291
2016-07-12,8.639000,8.960000,8.615000,8.886000,6.505478,27471538
2016-07-13,8.828000,8.890000,8.600000,8.725000,6.387611,23452856
2016-07-14,8.851000,8.893000,8.679000,8.829000,6.463750,12413291
2016-07-15,8.800000,8.853000,8.710000,8.819000,6.456429,20573022
2016-07-18,8.869000,8.945000,8.701000,8.800000,6.442518,8131341
2016-07-19,8.723000,8.801000,8.640000,8.692000,6.363452,9865375
2016-07-20,8.795000,8.835000,8.681000,8.830000,6.464482,14287817
2016-07-21,8.831000,8.861000,8.650000,8.777000,6.425681,27369821
2016-07-22,8.870000,9.028000,8.811000,8.931000,6.538424,21842139
2016-07-25,8.923000,9.033000,8.861000,8.910000,6.523050,9207099
2016-07-26,8.934000,8.994000,8.844000,8.933000,6.539888,9819316
